 21993,  21897
 26508,  16976
 13303,  10316
 -8041,   2765
-21176,  -4566
-17451, -10552
 -3515, -14477
  5875, -16235
  1791, -15569
-12398, -11008
-26620,   -760
-33625,  13597
-32835,  24491
-27470,  22275
-20465,   4733
-13242, -17458
 -6566, -27598
 -1183, -17412
  2396,   5427
  4175,  24687
  4632,  29928
  4497,  23291
  4568,  14045
  5512,   9150
  7692,   9438
 11092,  12352
 15346,  15787
 19806,  19107
 23685,  22135
 26270,  24398
 27098,  25310
 26036,  24514
 23339,  21979
 19647,  17971
 15826,  13065
 12742,   8003
 11103,   3342
 11308,   -724
 13323,  -3601
 16660,  -3263
 20491,   2740
 23877,  13470
 25956,  21875
 26093,  18612
 24061,   1490
 20135, -19086
 14978, -26915
  9427, -14338
  4343,  10355
   442,  30414
 -1915,  35091
 -2818,  26501
 -2706,  14138
 -2198,   5354
 -1923,   1467
 -2372,    425
 -3702,    528
 -5634,   1364
 -7565,   2826
 -8759,   4417
 -8513,   5460
 -6337,   5475
 -2161,   4351
  3560,   2343
  9873,    -36
 15606,  -2173
 19812,  -3494
 22020,  -3584
 21639,  -2308
 17004,    120
  6266,   3213
 -8966,   6378
-21012,   9039
-20067,  10721
 -3811,  11191
 17089,  10528
 25892,   9034
 14292,   7065
-10018,   4944
-30709,   2892
-37105,    920
-30968,  -1205
-21131,  -3821
-14175,  -7167
-10690, -11279
 -8112, -15934
 -4628, -20585
  -198, -24375
  4512, -26360
  9021, -25818
 13002, -22427
 16074, -16356
 17854,  -8355
 18103,    270
 16775,   7955
 14025,  13302
 10219,  15331
  5885,  13671
  1610,   8742
 -2036,   1752
 -4574,  -5614
 -5695, -11653
 -5296, -14986
 -3478, -14827
  -515, -11256
  3204,  -5294
  7226,   1395
 11128,   6973
 14576,   9808
 17332,   8818
 19271,   3835
 20376,  -4251
 20678, -13733
 20204, -22533
 18942, -28605
 16849, -30339
 13842, -27023
  9835, -19084
  4817,  -7953
 -1068,   4314
 -7474,  15389
-13859,  23109
-19523,  26014
-23668,  23684
-25551,  16745
-24655,   6650
-20804,  -4573
-14236, -14697
 -5620, -21815
  3978, -24739
 13253, -23122
 20906, -17419
 25823,  -8791
 27241,   1121
 24915,  10594
 19162,  18177
 10791,  22852
   930,  24107
 -9153,  21993
-18235,  17071
-25372,  10197
-30044,   2321
-32163,  -5593
-32035, -12649
-30265, -18117
-27595, -21483
-24721, -22421
-22144, -20755
-20094, -16530
-18503, -10049
-17055,  -1854
-15286,   7297
-12724,  16457
 -9043,  24545
 -4164,  30510
  1699,  33520
  8019,  33075
 14035,  29095
 18904,  21994
 21834,  12667
 22243,   2348
 19899,  -7604
 14990, -15889
  8116, -21436
   188, -23605
 -7688, -22268
-14399, -17789
-19060, -10918
-21158,  -2647
-20615,   5927
-17819,  13816
-13555,  20285
 -8830,  24894
 -4632,  27502
 -1739,  28232
  -591,  27395
 -1174,  25387
 -3013,  22578
 -5306,  19271
 -7149,  15699
 -7721,  12023
 -6456,   8332
 -3199,   4688
  1726,   1179
  7606,  -2091
 13546,  -5044
 18643,  -7626
 22149,  -9794
 23668, -11559
 23274, -12996
 21435, -14193
 18844, -15194
 16293, -15985
 14502, -16503
 13917, -16620
 14605, -16165
 16283, -15009
 18448, -13156
 20509, -10793
 21900,  -8267
 22267,  -6072
 21597,  -4800
 20155,  -4988
 18361,  -6936
 16716, -10632
 15662, -15706
 15423, -21434
 15927, -26811
 16844, -30740
 17708, -32299
 18027, -30917
 17395, -26480
 15638, -19413
 12922, -10670
  9685,  -1527
  6519,   6710
  4070,  12932
  2903,  16401
  3329,  16950
  5319,  15018
  8510,  11512
 12300,   7554
 15953,   4249
 18717,   2469
 19995,   2625
 19480,   4537
 17176,   7536
 13356,  10664
  8530,  12874
  3343,  13253
 -1564,  11276
 -5668,   6963
 -8617,    847
-10271,  -6182
-10692, -13041
-10109, -18657
 -8838, -22242
 -7196, -23486
 -5452, -22624
 -3785, -20287
 -2252, -17138
  -818, -13640
   612, -10677
  2150, -10462
  3870, -15547
  5755, -25048
  7687, -31921
  9469, -26817
 10870,  -7607
 11676,  15128
 11823,  24955
 11421,  14035
 10522,  -9439
